,massege,softmax,class
0,зачем это надо,[0.   0.05 0.   0.   0.15 0.8 ],tag_yes
1,ну,[0.02 0.02 0.   0.   0.   0.96],tag_yes
2,какая организация?,[0.02 0.19 0.   0.   0.01 0.78],tag_yes
3,во имя чего?,[0.   0.02 0.   0.   0.   0.97],tag_yes
4,вы тут?,[0.01 0.56 0.   0.   0.05 0.37],tag_no
5,да ну вас!,[0.02 0.03 0.   0.   0.   0.95],tag_yes
6,"приветствую, а что за организация?",[0.   0.61 0.   0.1  0.12 0.17],tag_no
7,да хорошо,[0.   0.03 0.   0.   0.   0.97],tag_yes
8,с какой радости?,[0.01 0.11 0.   0.   0.   0.88],tag_yes
9,и что дальше?,[0.   0.02 0.   0.   0.   0.98],tag_yes
10,скажите вторично,[0.01 0.21 0.01 0.   0.57 0.2 ],tag_who_is
11,вне всяких сомнений,[0.   0.02 0.   0.   0.01 0.97],tag_yes
12,не понял,[0.   0.02 0.   0.   0.96 0.02],tag_who_is
13,да нет наверное,[0.   0.08 0.   0.   0.   0.92],tag_yes
14,"алло, я больше не хочу получать звонки от вас!",[0.98 0.02 0.   0.   0.   0.  ],tag_do_not_call
15,сыт по горло,[0.05 0.07 0.   0.   0.01 0.87],tag_yes
16,скорее всего,[0.02 0.58 0.   0.   0.01 0.4 ],tag_no
17,"не, не годится",[0.06 0.64 0.17 0.   0.06 0.07],tag_no
18,а какая цель звонка?,[0.02 0.18 0.   0.   0.01 0.79],tag_yes
19,допустимо,[0.04 0.2  0.02 0.   0.02 0.73],tag_yes
20,зачем,[0.   0.01 0.   0.   0.   0.99],tag_yes
21,вероятно,[0.02 0.16 0.   0.   0.01 0.8 ],tag_yes
22,будь здоров!,[0.01 0.37 0.   0.   0.05 0.56],tag_yes
23,положим,[0.05 0.18 0.   0.   0.02 0.74],tag_yes
24,представьтесь пожалуйста?,[0.06 0.16 0.01 0.   0.62 0.14],tag_who_is
25,кто здесь?,[0.   0.02 0.   0.   0.96 0.01],tag_who_is
26,"нет, в другой раз",[0.   0.01 0.99 0.   0.   0.  ],tag_not_now
27,"жаль, но нет",[0.   0.99 0.   0.   0.   0.  ],tag_no
28,еще раз,[0.   0.01 0.   0.   0.99 0.  ],tag_who_is
29,к прискорбию нет,[0.01 0.97 0.01 0.   0.   0.01],tag_no
